Species,author.location,site,grass.forb.shrub,Photosynthesis,annual.Perennial,max.height.cm.,Root.diameter..mm.,SRL..mm.g.,Root.tissue.density.gcm.3.,Root.N..,SLA..cm2.g..cm2.g.1.,LDMC..g.g.,Leaf.tissue.density..gcm.3.,Leaf.area..cm2.,tugor.loss.point,Leaf.N....
Alliumtextile,DB/HPG,CHY,F,C3,Perennial,30.48,0.2355,NA,NA,NA,101.8584,0.135925364,0.08137136,1.24325,-0.34556153,2.815
Antennariarosea,AS/AZ,CHY,F,C3,Perennial,NA,NA,NA,NA,NA,NA,0.335732566,NA,NA,-2.85213152,NA
Artemisiafrigida,DB/HPG,CHY,F,C3,Perennial,26.868,0.24195,70.28428596,NA,1.02,213.6270654,0.348899798,0.33609394,0.075220945,-1.261089225,1.953
Astragalusdrummondii,DB/HPG,CHY,F,C3,Perennial,23.784,0.43234,32.31714671,NA,2.18,124.4218462,0.236413273,NA,11.152055,-0.669790392,4.635
Astragaluslaxmannii,DB/HPG,CHY,F,C4,Perennial,14.648,NA,NA,NA,NA,97.56782988,0.25655772,NA,5.37808,-0.885247441,3.39
Astragalusshortianus,DB/HPG,CHY,F,C4,Perennial,10.2625,0.368,43.8479521,NA,2.45,93.66465524,0.174372969,NA,6.0565,-0.663024832,5.453
Boutelouagracilis,DB/HPG,CHY,G,C4,Perennial,15.91,0.204125,68.67957164,0.3752851,0.56,72.99876175,0.49404319,0.412646057,0.6532,-1.599274184,1.508888889
Buchloedactyloides,TRY/ all,CHY,G,C4,Perennial,NA,NA,NA,NA,0.78,131.75231,0.61125,NA,NA,NA,NA
Carexeleocharis,DB/HPG,CHY,G,C3,Perennial,9.955,0.1892,76.88056507,NA,0.716666667,115.4980706,0.403400534,NA,0.95225,-2.430975402,1.742
Cirsiumundulatum,DB/HPG,CHY,F,C3,Perennial,38.61428571,NA,NA,NA,NA,97.29738554,0.228524695,0.41,36.25428571,-1.27780434,1.958
Comandraumbellata,DB/HPG,CHY,F,C3,Perennial,9.485,0.3323,21.75143953,NA,0.82,91.94960823,0.255090913,0.3340517,0.4859,-1.896426384,2.608
Erigeronpumilus,DB/HPG,CHY,F,C4,Perennial,9.58,0.23698,83.89194004,NA,0.98,103.6559933,0.249771608,0.20651597,0.457125,-0.785325331,1.773
Eriogonumeffusum,DB/CPER,CHY,S,C3,Perennial,13.408,NA,NA,NA,NA,100.7953597,0.488384279,NA,1.749,-1.460169072,2.355
Gauracoccinea,DB/CPER,CHY,F,C3,Perennial,17.812,NA,NA,NA,NA,137.561965,0.290132473,NA,1.06725,-1.09411888,2.066666667
Grindeliasquarrosa,DB/HPG,CHY,F,C3,Annual,28.545,0.26828,59.90048882,NA,0.72,85.07890676,0.244203597,0.37,1.068166667,-0.523029793,1.534
Heterothecavillosa,DB/HPG,CHY,F,C3,Perennial,12.812,0.254566667,69.97353922,NA,0.8,115.9404074,0.30257769,NA,0.733125,-0.551132887,2.032
Koeleriapyramidata,DB/HPG,CHY,G,C3,Perennial,15.7,0.15324,162.2700823,0.334,0.516666667,83.88686134,0.401028467,0.487,2.385375,-1.435339472,1.385
Lactucaserriola,NA,CHY,F,C3,Biennial,83.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lappularedowskii,DB/HPG,CHY,F,C3,Annual,16.09,0.13325,378.8427103,NA,1.78,231.0757905,0.203229243,NA,0.238642857,-0.816724467,2.356
Lepidiumdensiflorum,DB/HPG,CHY,F,C3,Annual,15.27428571,0.15235,282.0899068,0.40364305,1.816666667,169.268439,0.207452531,0.46227389,0.634055556,-0.728598717,3.598
Lesquerellamontana,DB/HPG,CHY,F,C3,Perennial,4.92,0.171,190.2181779,NA,1.828571429,92.82327376,0.211131504,NA,0.696166667,-0.880043165,2.744
Leucocrinummontanum,DB/HPG,CHY,F,C3,Perennial,8.33,0.7363,15.67955314,NA,0.44,110.7022838,0.18218106,NA,3.031,-1.138695709,3.129
Liatrispunctata,DB/HPG,CHY,F,C3,Perennial,14.145,0.310216667,76.8619003,0.119538812,1.06,61.75097249,0.301120214,0.5097965,0.947,-0.560396499,1.583
Linariadalmatica,TRY/AZ,CHY,F,C4,Perennial,60.7,NA,NA,NA,1.001,145.72879,0.21475,NA,4.2554429,NA,NA
Lygodesmiajuncea,AS/MO,CHY,F,C3,Perennial,NA,NA,NA,NA,NA,101.5325763,0.203896624,NA,NA,NA,NA
Machaerantherapinnatifida,NA,CHY,F,C3,Perennial,NA,NA,NA,NA,NA,NA,0.365723939,NA,NA,NA,NA
Mertensialanceolata,DB/HPG,CHY,F,C3,Perennial,10.37,0.18698,73.76156396,NA,1.425,129.3438491,0.208128531,NA,1.1595,-0.791050036,2.834
Mirabilislinearis,NA,CHY,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Musineondivaricatum,DB/HPG,CHY,F,C3,Perennial,6.85,NA,NA,NA,NA,98.72758824,0.194083985,0.16887982,3.292,-1.102265773,3.204
Oenotheracoronopifolia,DB/HPG,CHY,F,C4,Perennial,11.875,0.3129,72.47169235,NA,1.06,87.39339585,0.243119051,NA,0.9455,-0.672808872,1.775
