"species","site","Photosynthesis","annual.Perennial","height","rootdiam","SRL","RTD","rootN","SLA","LDMC","LTD","leafarea","TLP","leafN","intrinsicLDGRcon","intrinsicLDGRchr","invasionLDGRcon","invasionLDGRchr","weight","effectN","effectND","weight2","grassland_type","grass.forb","lifespan"
"Alliumtextile","CHY","C3","Perennial",30.48,0.2355,NA,NA,NA,101.8584,0.135925364,0.08137136,1.24325,-0.34556153,2.815,0.248119893967044,-0.0944601518567736,0.340666641659147,0.0331537702951508,0.523840175902338,0.535266105006263,0.989758383777929,1.90897920014908,"Northern Mixed","Other","Perennial"
"Artemisiafrigida","CHY","C3","Perennial",26.868,0.24195,70.28428596,NA,1.02,213.6270654,0.348899798,0.33609394,0.075220945,-1.261089225,1.953,1.62811231743312,1.14089441919486,0.656007546029272,0.499612343904063,0.5986271531234,-4.66549105218146,-3.01425513528249,1.67048887572572,"Northern Mixed","Other","Perennial"
"Boutelouagracilis","CHY","C4","Perennial",15.91,0.204125,68.67957164,0.3752851,0.56,72.99876175,0.49404319,0.412646057,0.6532,-1.599274184,1.508888889,2.99946405181134,3.11888821920073,2.10415706678487,1.65296223104496,0.74297349983846,-3.01972314423911,-4.4752684396912,1.34594302517845,"Northern Mixed","Grass","Perennial"
"Carexeleocharis","CHY","C3","Perennial",9.955,0.1892,76.88056507,NA,0.716666667,115.4980706,0.403400534,NA,0.95225,-2.430975402,1.742,2.28242787952582,3.00864425700034,2.29076399962929,2.87729828188451,0.579142810643122,0.0323214554798866,-0.478637707756168,1.72668982783284,"Northern Mixed","Grass","Perennial"
"Cirsiumundulatum","CHY","C3","Perennial",38.61428571,NA,NA,NA,NA,97.29738554,0.228524695,0.41,36.25428571,-1.27780434,1.958,-0.133673216768551,0.451068280729987,0.0111449353600152,0.213083473249574,0.46074836810337,0.762666086027646,-1.4070264994293,2.17038207669929,"Northern Mixed","Other","Perennial"
"Comandraumbellata","CHY","C3","Perennial",9.485,0.3323,21.75143953,NA,0.82,91.94960823,0.255090913,0.3340517,0.4859,-1.896426384,2.608,0.218401092288465,0.391675391021313,0.300369554862072,0.435555699651307,0.567902903278445,0.359338936921218,0.212422869230071,1.76086439112585,"Northern Mixed","Other","Perennial"
"Erigeronpumilus","CHY","C4","Perennial",9.58,0.23698,83.89194004,NA,0.98,103.6559933,0.249771608,0.20651597,0.457125,-0.785325331,1.773,0.589810377660907,0.641371948410963,0.466038045916274,1.06126237630011,0.537070180420373,-1.40005002757306,3.72664568112009,1.86195405452838,"Northern Mixed","Other","Perennial"
"Gauracoccinea","CHY","C3","Perennial",17.812,NA,NA,NA,NA,137.561965,0.290132473,NA,1.06725,-1.09411888,2.066666667,0.119321453232257,0.219515718638743,0.14737003763586,0.453358045661828,0.481098050325003,0.162114378937358,1.25828859572094,2.07857836739196,"Northern Mixed","Other","Perennial"
"Heterothecavillosa","CHY","C3","Perennial",12.812,0.254566667,69.97353922,NA,0.8,115.9404074,0.30257769,NA,0.733125,-0.551132887,2.032,1.19676945296595,1.1136637898688,0.881323268802406,0.670411187892835,0.634955265771244,-1.46799397343774,-1.94905046751789,1.57491409853158,"Northern Mixed","Other","Perennial"
"Koeleriapyramidata","CHY","C3","Perennial",15.7,0.15324,162.2700823,0.334,0.516666667,83.88686134,0.401028467,0.487,2.385375,-1.435339472,1.385,0.910864740134931,0.753780093061281,0.878452193190227,0.52568638613065,0.693287184563125,-0.150733409688603,-1.19971779957842,1.44240369974551,"Northern Mixed","Grass","Perennial"
"Lactucaserriola","CHY","C3","Biennial",83.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.600111429630127,0.502959096924705,0.601593716536858,0.089939362363566,0.391460913082866,13.4382490855942,-3.83753128180645,2.55453345807814,"Northern Mixed","Other","Short-lived"
"Lappularedowskii","CHY","C3","Annual",16.09,0.13325,378.8427103,NA,1.78,231.0757905,0.203229243,NA,0.238642857,-0.816724467,2.356,-5.5389864251532e-16,0.343028844653636,-1.73045843798781e-16,-0.0418473316027721,0.322120562970698,3.92927455381949e-15,-3.63852157292663,3.1044277048869,"Northern Mixed","Other","Short-lived"
