"grassland_type","year","trt","plot","subplot","totalcov"
"Desert",2012,"chr",3,"a",21
"Desert",2012,"chr",3,"b",21.95
"Desert",2012,"chr",3,"c",27.2
"Desert",2012,"chr",3,"d",27.3
"Desert",2012,"chr",5,"a",25.3
"Desert",2012,"chr",5,"b",28.7
"Desert",2012,"chr",5,"c",23.85
"Desert",2012,"chr",5,"d",34.35
"Desert",2012,"chr",9,"a",31.3
"Desert",2012,"chr",9,"b",23.65
"Desert",2012,"chr",9,"c",22.1
"Desert",2012,"chr",9,"d",25.1
"Desert",2012,"chr",11,"a",22.2
"Desert",2012,"chr",11,"b",21.95
"Desert",2012,"chr",11,"c",26.5
"Desert",2012,"chr",11,"d",18.85
"Desert",2012,"chr",14,"a",24.3
"Desert",2012,"chr",14,"b",15.95
"Desert",2012,"chr",14,"c",16.65
"Desert",2012,"chr",14,"d",30.3
"Desert",2012,"chr",18,"a",30.4
"Desert",2012,"chr",18,"b",21.45
"Desert",2012,"chr",18,"c",38
"Desert",2012,"chr",18,"d",39.45
"Desert",2012,"chr",20,"a",29.75
"Desert",2012,"chr",20,"b",32.9
"Desert",2012,"chr",20,"c",23.85
"Desert",2012,"chr",20,"d",32.25
"Desert",2012,"chr",24,"a",17.25
"Desert",2012,"chr",24,"b",24.6
"Desert",2012,"chr",24,"c",27.65
"Desert",2012,"chr",24,"d",32.5
"Desert",2012,"chr",27,"a",23.25
"Desert",2012,"chr",27,"b",23.25
"Desert",2012,"chr",27,"c",30
"Desert",2012,"chr",27,"d",18.3
"Desert",2012,"chr",31,"a",16.85
"Desert",2012,"chr",31,"b",22.35
"Desert",2012,"chr",31,"c",15.3
"Desert",2012,"chr",31,"d",22.2
"Desert",2012,"con",1,"a",25.2
"Desert",2012,"con",1,"b",19.15
"Desert",2012,"con",1,"c",21.2
"Desert",2012,"con",1,"d",21.2
"Desert",2012,"con",4,"a",17.95
"Desert",2012,"con",4,"b",24.4
"Desert",2012,"con",4,"c",23.9
"Desert",2012,"con",4,"d",20.6
"Desert",2012,"con",6,"a",30.85
"Desert",2012,"con",6,"b",29.9
"Desert",2012,"con",6,"c",31.05
"Desert",2012,"con",6,"d",26.15
"Desert",2012,"con",10,"a",27.7
"Desert",2012,"con",10,"b",22.3
"Desert",2012,"con",10,"c",23.65
"Desert",2012,"con",10,"d",25
"Desert",2012,"con",13,"a",19.55
"Desert",2012,"con",13,"b",25.9
"Desert",2012,"con",13,"c",31.85
"Desert",2012,"con",13,"d",25.2
"Desert",2012,"con",16,"a",31.05
"Desert",2012,"con",16,"b",33.35
"Desert",2012,"con",16,"c",24.6
"Desert",2012,"con",16,"d",28.35
"Desert",2012,"con",19,"a",17.05
"Desert",2012,"con",19,"b",21
"Desert",2012,"con",19,"c",34.05
"Desert",2012,"con",19,"d",28
"Desert",2012,"con",23,"a",25.45
"Desert",2012,"con",23,"b",17.35
"Desert",2012,"con",23,"c",27.85
"Desert",2012,"con",23,"d",22.45
"Desert",2012,"con",26,"a",31
"Desert",2012,"con",26,"b",37.35
"Desert",2012,"con",26,"c",28.9
"Desert",2012,"con",26,"d",27.25
"Desert",2012,"con",30,"a",16.85
"Desert",2012,"con",30,"b",17.8
"Desert",2012,"con",30,"c",32.45
"Desert",2012,"con",30,"d",23.3
"Desert",2013,"chr",3,"a",25.65
"Desert",2013,"chr",3,"b",17.5
"Desert",2013,"chr",3,"c",22.65
"Desert",2013,"chr",3,"d",19.95
"Desert",2013,"chr",5,"a",23.6
"Desert",2013,"chr",5,"b",20.2
"Desert",2013,"chr",5,"c",15.9
"Desert",2013,"chr",5,"d",26.69
"Desert",2013,"chr",9,"a",25.55
"Desert",2013,"chr",9,"b",17.6
"Desert",2013,"chr",9,"c",16.85
"Desert",2013,"chr",9,"d",19.8
"Desert",2013,"chr",11,"a",22.25
"Desert",2013,"chr",11,"b",28.1
"Desert",2013,"chr",11,"c",27.2
"Desert",2013,"chr",11,"d",17.55
"Desert",2013,"chr",14,"a",24.6
"Desert",2013,"chr",14,"b",18
"Desert",2013,"chr",14,"c",20.9
"Desert",2013,"chr",14,"d",21
"Desert",2013,"chr",18,"a",43.35
"Desert",2013,"chr",18,"b",23
"Desert",2013,"chr",18,"c",21.3
"Desert",2013,"chr",18,"d",24.6
"Desert",2013,"chr",20,"a",39.4
"Desert",2013,"chr",20,"b",34.55
"Desert",2013,"chr",20,"c",33.75
"Desert",2013,"chr",20,"d",40.55
"Desert",2013,"chr",24,"a",22.65
"Desert",2013,"chr",24,"b",20.15
"Desert",2013,"chr",24,"c",24.1
"Desert",2013,"chr",24,"d",28.95
"Desert",2013,"chr",27,"a",92.75
"Desert",2013,"chr",27,"b",23.35
"Desert",2013,"chr",27,"c",27.55
"Desert",2013,"chr",27,"d",18.75
"Desert",2013,"chr",31,"a",26.85
"Desert",2013,"chr",31,"b",23.7
"Desert",2013,"chr",31,"c",21.45
"Desert",2013,"chr",31,"d",22.4
"Desert",2013,"con",1,"a",28.6
"Desert",2013,"con",1,"b",18.1
"Desert",2013,"con",1,"c",21.8
"Desert",2013,"con",1,"d",25.75
"Desert",2013,"con",4,"a",34.55
"Desert",2013,"con",4,"b",29.55
"Desert",2013,"con",4,"c",49.95
"Desert",2013,"con",4,"d",41.55
"Desert",2013,"con",6,"a",33.65
"Desert",2013,"con",6,"b",30.15
"Desert",2013,"con",6,"c",22.6
"Desert",2013,"con",6,"d",29.65
"Desert",2013,"con",10,"a",26.95
"Desert",2013,"con",10,"b",23.75
"Desert",2013,"con",10,"c",27.2
"Desert",2013,"con",10,"d",23.3
"Desert",2013,"con",13,"a",24.45
"Desert",2013,"con",13,"b",25.3
"Desert",2013,"con",13,"c",58.6
"Desert",2013,"con",13,"d",43.8
"Desert",2013,"con",16,"a",32.75
"Desert",2013,"con",16,"b",27.85
"Desert",2013,"con",16,"c",31.8
"Desert",2013,"con",16,"d",28.55
"Desert",2013,"con",19,"a",40.1
"Desert",2013,"con",19,"b",25.3
"Desert",2013,"con",19,"c",33.65
"Desert",2013,"con",19,"d",21.25
"Desert",2013,"con",23,"a",32.2
"Desert",2013,"con",23,"b",33.35
"Desert",2013,"con",23,"c",41.5
"Desert",2013,"con",23,"d",34.95
"Desert",2013,"con",26,"a",38.6
"Desert",2013,"con",26,"b",39.6
"Desert",2013,"con",26,"c",40.45
"Desert",2013,"con",26,"d",43.25
"Desert",2013,"con",30,"a",44.75
"Desert",2013,"con",30,"b",32.85
"Desert",2013,"con",30,"c",55.3
"Desert",2013,"con",30,"d",39.3
"Desert",2014,"chr",3,"a",17.9
"Desert",2014,"chr",3,"b",16.36
"Desert",2014,"chr",3,"c",25.36
"Desert",2014,"chr",3,"d",12.48
"Desert",2014,"chr",5,"a",18.1
"Desert",2014,"chr",5,"b",12.5
"Desert",2014,"chr",5,"c",13
"Desert",2014,"chr",5,"d",20.4
"Desert",2014,"chr",9,"a",30.55
"Desert",2014,"chr",9,"b",8.45
"Desert",2014,"chr",9,"c",8.65
"Desert",2014,"chr",9,"d",14.5
"Desert",2014,"chr",11,"a",32.46
"Desert",2014,"chr",11,"b",9.05
"Desert",2014,"chr",11,"c",54.1
"Desert",2014,"chr",11,"d",35.45
"Desert",2014,"chr",14,"a",14
"Desert",2014,"chr",14,"b",16.1
"Desert",2014,"chr",14,"c",12.8
"Desert",2014,"chr",14,"d",14.1
"Desert",2014,"chr",18,"a",8.35
"Desert",2014,"chr",18,"b",4.2
"Desert",2014,"chr",18,"c",11.7
"Desert",2014,"chr",18,"d",8.6
"Desert",2014,"chr",20,"a",20.25
"Desert",2014,"chr",20,"b",13.8
"Desert",2014,"chr",20,"c",22.65
"Desert",2014,"chr",20,"d",14.2
"Desert",2014,"chr",24,"a",7
"Desert",2014,"chr",24,"b",6.5
"Desert",2014,"chr",24,"c",17.9
"Desert",2014,"chr",24,"d",5.85
"Desert",2014,"chr",27,"a",7.2
"Desert",2014,"chr",27,"b",12.3
"Desert",2014,"chr",27,"c",32.55
"Desert",2014,"chr",27,"d",26.4
"Desert",2014,"chr",31,"a",7.5
"Desert",2014,"chr",31,"b",17.6
"Desert",2014,"chr",31,"c",22.1
"Desert",2014,"chr",31,"d",12.45
"Desert",2014,"con",1,"a",21.26
"Desert",2014,"con",1,"b",16.15
"Desert",2014,"con",1,"c",34.88
"Desert",2014,"con",1,"d",30.83
"Desert",2014,"con",4,"a",23.11
"Desert",2014,"con",4,"b",23.75
"Desert",2014,"con",4,"c",31.1
"Desert",2014,"con",4,"d",23.4
"Desert",2014,"con",6,"a",42.45
"Desert",2014,"con",6,"b",22.2
"Desert",2014,"con",6,"c",27.95
"Desert",2014,"con",6,"d",33.91
"Desert",2014,"con",10,"a",32.65
"Desert",2014,"con",10,"b",24.9
"Desert",2014,"con",10,"c",29
"Desert",2014,"con",10,"d",28
"Desert",2014,"con",13,"a",23.8
"Desert",2014,"con",13,"b",31.15
"Desert",2014,"con",13,"c",43
"Desert",2014,"con",13,"d",23.95
"Desert",2014,"con",16,"a",23.4
"Desert",2014,"con",16,"b",24.75
"Desert",2014,"con",16,"c",33.15
"Desert",2014,"con",16,"d",24.5
"Desert",2014,"con",19,"a",22.8
"Desert",2014,"con",19,"b",28.5
"Desert",2014,"con",19,"c",47.55
"Desert",2014,"con",19,"d",29.8
"Desert",2014,"con",23,"a",35.1
"Desert",2014,"con",23,"b",25
"Desert",2014,"con",23,"c",25.5
"Desert",2014,"con",23,"d",23.6
"Desert",2014,"con",26,"a",18.05
"Desert",2014,"con",26,"b",19.95
"Desert",2014,"con",26,"c",51.5
"Desert",2014,"con",26,"d",32.55
"Desert",2014,"con",30,"a",25.98
"Desert",2014,"con",30,"b",20.95
"Desert",2014,"con",30,"c",55.75
"Desert",2014,"con",30,"d",30.09
"Desert",2015,"chr",3,"a",10.65
